"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"06-Aug-2021","EQ","540.00","542.35","534.20","539.55","534.95","535.20","537.29","594.85","364.10",949584,"510,200,205.65",23066
"05-Aug-2021","EQ","548.35","548.35","538.20","545.55","539.50","539.55","542.44","594.85","364.10",1138942,"617,808,598.30",31763
"04-Aug-2021","EQ","559.05","559.05","544.00","556.10","545.40","545.55","550.13","594.85","364.10",2038763,"1,121,589,628.05",29163
"03-Aug-2021","EQ","557.55","566.50","554.50","557.50","555.35","556.10","559.94","594.85","364.10",1407792,"788,285,036.95",24807
"02-Aug-2021","EQ","562.00","562.00","551.85","557.75","558.45","557.50","555.17","594.85","364.10",1738317,"965,067,391.55",20183
"30-Jul-2021","EQ","550.60","562.00","548.05","547.60","559.45","557.75","557.77","594.85","364.10",2669022,"1,488,692,996.30",42756
"29-Jul-2021","EQ","549.25","560.95","545.00","546.50","550.00","547.60","552.58","594.85","364.10",1860887,"1,028,289,713.70",27642
"28-Jul-2021","EQ","549.20","554.90","541.30","546.40","546.70","546.50","548.64","594.85","364.10",2578095,"1,414,453,257.75",45373
"27-Jul-2021","EQ","549.90","551.45","542.35","546.95","548.25","546.40","546.52","594.85","364.10",7588089,"4,147,065,927.75",36041
"26-Jul-2021","EQ","538.00","548.65","534.85","538.15","548.00","546.95","542.85","594.85","364.10",6535919,"3,548,027,964.05",35728
"23-Jul-2021","EQ","540.00","545.70","535.10","539.50","538.70","538.15","539.29","594.85","364.10",4559632,"2,458,963,130.60",41019
"22-Jul-2021","EQ","541.70","543.15","537.00","538.20","539.65","539.50","539.65","594.85","364.10",3504984,"1,891,452,632.00",34876
"20-Jul-2021","EQ","549.70","549.70","536.95","549.70","537.55","538.20","540.22","594.85","364.10",3431968,"1,854,002,452.10",33087
"19-Jul-2021","EQ","552.60","556.00","547.65","552.60","550.00","549.70","550.95","594.85","364.10",1508022,"830,841,099.20",21317
"16-Jul-2021","EQ","561.70","562.90","551.00","560.20","552.30","552.60","554.26","594.85","364.10",1256479,"696,418,430.20",28337
"15-Jul-2021","EQ","563.00","565.45","557.35","560.25","559.75","560.20","561.56","594.85","364.10",1369642,"769,141,815.45",24108
"14-Jul-2021","EQ","566.75","568.30","559.00","566.45","560.85","560.25","562.64","594.85","364.10",970438,"546,005,367.20",17720
"13-Jul-2021","EQ","572.00","575.00","565.10","569.55","566.00","566.45","569.73","594.85","364.10",1262274,"719,149,389.20",21703
"12-Jul-2021","EQ","572.90","577.90","567.20","570.05","569.20","569.55","572.97","594.85","364.10",1316126,"754,095,084.20",30233
"09-Jul-2021","EQ","580.00","581.75","568.60","578.85","571.55","570.05","573.26","594.85","364.10",2079011,"1,191,811,185.70",42477
